72,Three Star Motel,You`re Home,icon-hotel39,2000000,72,1666.666667,1
73,Storm Shelter,Built To Protect,icon-home119,50000,67,41.66666667,1
74,Bank,"Your Future , Your Saving",icon-three58,10000000,50,8333.333333,1
75,Bunglow,A house with timeless elegance,icon-longa,750000,72,625,1
76,Casino,Only thing you can do here is WIN,icon-set2,15000000,59,12500,1
77,Cinemark,One stop shop for all your entertainment needs,icon-cartoon3,9000000,75,7500,1
78,City Hall,Old charm ,icon-city5,650000,73,541.6666667,1
79,Condominium,Your Search is over,icon-big101,6500000,55,5416.666667,1
80,Convention Center,"Perfect place for Sports, Music,and all other occasion",icon-building7,4000000,69,3333.333333,1
81,Cottage,A cozy place for all weathers,icon-house112,125000,63,104.1666667,1
82,Concert Hall,"Drama, Musis, Theatre, all in one place",icon-cylindrical1,2000000,71,1666.666667,1
83,Downtown Offices,"location, location, location",icon-school23,3000000,65,2500,1
84,Double Decker House,Live together have your own space,icon-modern13,400000,53,333.3333333,1
85,Federal Building,Timeless Design,icon-building10,13000000,60,10833.33333,1
86,Embassy,Travelling Anywhere?,icon-tall2,7000000,68,5833.333333,1
87,Empire Building,A Royal Renaissance,icon-building30,70000000,61,58333.33333,1
88,Extended Stay Motel,Close to shops and resturants,icon-building36,5000000,66,4166.666667,1
89,Elite Sky Scraper,"Safety, National Policy all are made here",icon-new27,40000000,70,33333.33333,1
90,Financial Street,Prime Piece of Property,icon-skyscrapers,100000000,65,83333.33333,1
91,Five Star Resort Hotel,your retreat from the modern world,icon-city21,10000000,55,8333.333333,1
92,Four Star Hotel,needs to be seen to be appreciated,icon-building34,5000000,59,4166.666667,1
93,Hospital,Where you are cared for,icon-hospital11,5000000,70,4166.666667,1
94,House,Perfect for the first time home buyer,icon-house111,350000,67,291.6666667,1
95,Lofts Rental,Immaculate home : an unusual find,icon-building31,6000000,68,5000,1
96,Mansion,Your dream house,icon-halloween56,3000000,65,2500,1
97,Nights Inn,"Comfort of home, when youre away from home",icon-hotel16,1000000,57,833.3333333,1
98,Office Building,Living at its finest,icon-big100,2000000,66,1666.666667,1
99,Parking Garage,Foundation Exceeds standards,icon-building40,1000000,51,833.3333333,1
100,Parliament Bulding,Where Leaders of the community are made,icon-school7,1500000,64,1250,1
101,Police Station,Safety and Security for your neighbourhood,icon-school37,2500000,75,2083.333333,1
102,Real Estate Office,"Buying, Selling , Renting, all your real estate needs",icon-building41,2500000,67,2083.333333,1
103,Resort Hotel,Live in Luxury ,icon-cylindrical2,13000000,70,10833.33333,1
104,School,Knowledge is power,icon-educative2,650000,68,541.6666667,1
105,Shopping Mall,One stop shop for all your needs,icon-city8,1500000,66,1250,1
106,Sky Scraper,Breathtaking panaromic views,icon-empire1,20000000,74,16666.66667,1
107,Sky Scraper,Iconic Design,icon-empire,25000000,72,20833.33333,1
108,Farm House,well worth Investing  for future,icon-house104,350000,57,291.6666667,1
109,Stock Exchange Building,Marketplace for commodities and all othe financial trades,icon-skyscraper1,15000000,66,12500,1
110,Supermarket,Lots of Potential,icon-burj,600000,59,500,1
111,Apartment Complex,Live in Style,icon-building35,2500000,70,2083.333333,1
112,Town Center,A common place for the community,icon-urban,8000000,67,6666.666667,1
113,Town House,Perfect for your family,icon-house133,225000,68,187.5,1
114,Trade Center,a great/sound investment,icon-stepped,3000000,65,2500,1
115,Villa,Affordable Elegance,icon-temple6,700000,57,583.3333333,1
116,WorkForce Building,Here you can get help finding job,icon-tall8,450000,81,375,1
117,Entertainement Street,You can touch the sky,icon-skyscraper,75000000,72,62500,1
118,Industrial Street,A whole street for new inventions,icon-buildings2,75000000,62,62500,1
119,CharitableOrganization,Pay It Forward,icon-non1,325000,65,270.8333333,1
120,State Capitol,Its about the whole nation,icon-white,50000000,72,41666.66667,1
121,Castle,A dream come true,icon-castle8,2750000,73,2291.666667,1
122,International Organization,Bringing the world together,icon-united3,18000000,71,15000,1
123,Court House,Justice Served,icon-school49,450000,67,375,1
124,Storage,Store all you want,icon-house110,120000,66,100,1
125,Ranch,A place for both your pets and you,icon-school47,600000,76,500,1
126,Brownstone,Beauty and Elegance you can afford,icon-building6,3750000,75,3125,1
127,Housing Society,Different Families Living Together forming a society,icon-buildings9,1000000,74,833.3333333,1
