FollowerUserId	FollowingUserId	CreatedAt
1137	9143	2014-11-16 04:03:40
7105	4105	2014-11-16 04:03:40
4264	3415	2014-11-16 04:03:40
1017	694	2014-11-16 04:03:40
5011	8901	2014-11-16 04:03:40
9288	4595	2014-11-16 04:03:40
5011	9953	2014-11-16 04:03:40
7347	1376	2014-11-16 04:03:40
1592	4626	2014-11-16 04:03:40
5776	2018	2014-11-16 04:03:40
5930	9677	2014-11-16 04:03:40
3255	3416	2014-11-16 04:03:40
2768	8051	2014-11-16 04:03:40
2271	3068	2014-11-16 04:03:40
6263	66	2014-11-16 04:03:40
9288	6046	2014-11-16 04:03:40
1818	1268	2014-11-16 04:03:40
4878	4258	2014-11-16 04:03:40
2768	2872	2014-11-16 04:03:40
3351	1327	2014-11-16 04:03:40
432	8474	2014-11-16 04:03:40
1	2435	2014-11-16 04:03:40
3255	1647	2014-11-16 04:03:40
7034	7000	2014-11-16 04:03:40
9007	9291	2014-11-16 04:03:40
9256	9194	2014-11-16 04:03:40
5011	1884	2014-11-16 04:03:40
1818	6931	2014-11-16 04:03:40
1017	4063	2014-11-16 04:03:40
7034	1096	2014-11-16 04:03:40
7347	5172	2014-11-16 04:03:40
7347	8550	2014-11-16 04:03:40
7105	4437	2014-11-16 04:03:40
5776	7421	2014-11-16 04:03:40
1592	6746	2014-11-16 04:03:40
2768	8667	2014-11-16 04:03:40
4664	3290	2014-11-16 04:03:40
531	4498	2014-11-16 04:03:40
1017	1634	2014-11-16 04:03:40
531	6450	2014-11-16 04:03:40
1592	9802	2014-11-16 04:03:40
7034	7174	2014-11-16 04:03:40
5776	4287	2014-11-16 04:03:40
4878	6468	2014-11-16 04:03:40
2271	1708	2014-11-16 04:03:40
4878	694	2014-11-16 04:03:40
1137	1857	2014-11-16 04:03:40
7034	3881	2014-11-16 04:03:40
1039	89	2014-11-16 04:03:40
3255	9380	2014-11-16 04:03:40
9288	1914	2014-11-16 04:03:40
5930	1933	2014-11-16 04:03:40
9930	7867	2014-11-16 04:03:40
7347	7413	2014-11-16 04:03:40
1039	9126	2014-11-16 04:03:40
9288	627	2014-11-16 04:03:40
4237	2680	2014-11-16 04:03:40
2768	3394	2014-11-16 04:03:40
1039	6742	2014-11-16 04:03:40
3351	410	2014-11-16 04:03:40
3351	3101	2014-11-16 04:03:40
432	3164	2014-11-16 04:03:40
9007	4174	2014-11-16 04:03:40
4264	1058	2014-11-16 04:03:40
531	3148	2014-11-16 04:03:40
2847	3668	2014-11-16 04:03:40
2768	6424	2014-11-16 04:03:40
9007	7725	2014-11-16 04:03:40
2475	8230	2014-11-16 04:03:40
4878	8966	2014-11-16 04:03:40
9256	1999	2014-11-16 04:03:40
432	720	2014-11-16 04:03:40
4264	4811	2014-11-16 04:03:40
9288	7987	2014-11-16 04:03:40
4264	7433	2014-11-16 04:03:40
9007	6565	2014-11-16 04:03:40
9256	5121	2014-11-16 04:03:40
2847	5023	2014-11-16 04:03:40
2847	1784	2014-11-16 04:03:40
9288	919	2014-11-16 04:03:40
7105	3154	2014-11-16 04:03:40
1017	5671	2014-11-16 04:03:40
119	8746	2014-11-16 04:03:40
7034	6122	2014-11-16 04:03:40
5776	4472	2014-11-16 04:03:40
7347	8061	2014-11-16 04:03:40
7105	1570	2014-11-16 04:03:40
6263	3774	2014-11-16 04:03:40
1818	7618	2014-11-16 04:03:40
4878	2276	2014-11-16 04:03:40
2475	4620	2014-11-16 04:03:40
1137	1874	2014-11-16 04:03:40
4664	7761	2014-11-16 04:03:40
119	9671	2014-11-16 04:03:40
119	7353	2014-11-16 04:03:40
1294	6194	2014-11-16 04:03:40
2768	3909	2014-11-16 04:03:40
119	3660	2014-11-16 04:03:40
432	4905	2014-11-16 04:03:40
2271	4997	2014-11-16 04:03:40
1294	1242	2014-11-16 04:03:40
3351	5602	2014-11-16 04:03:40
7105	6944	2014-11-16 04:03:40
7034	2101	2014-11-16 04:03:40
9007	2951	2014-11-16 04:03:40
7347	2931	2014-11-16 04:03:40
8224	330	2014-11-16 04:03:40
9007	4529	2014-11-16 04:03:40
4264	4701	2014-11-16 04:03:40
5776	4635	2014-11-16 04:03:40
3351	6775	2014-11-16 04:03:40
5930	1357	2014-11-16 04:03:40
8224	3921	2014-11-16 04:03:40
7105	4195	2014-11-16 04:03:40
4264	8672	2014-11-16 04:03:40
4878	8058	2014-11-16 04:03:40
4264	4913	2014-11-16 04:03:40
7034	3295	2014-11-16 04:03:40
3351	9646	2014-11-16 04:03:40
4237	3411	2014-11-16 04:03:40
2768	5822	2014-11-16 04:03:40
4264	9395	2014-11-16 04:03:40
5011	1197	2014-11-16 04:03:40
1294	3081	2014-11-16 04:03:40
7105	664	2014-11-16 04:03:40
1592	9602	2014-11-16 04:03:40
1017	4276	2014-11-16 04:03:40
9288	8577	2014-11-16 04:03:40
5930	8110	2014-11-16 04:03:40
2847	8668	2014-11-16 04:03:40
1137	2857	2014-11-16 04:03:40
2847	8499	2014-11-16 04:03:40
1017	365	2014-11-16 04:03:40
8224	829	2014-11-16 04:03:40
1	1920	2014-11-16 04:03:40
1920	1	2014-11-16 04:03:40
3255	8044	2014-11-16 04:03:40
2847	3203	2014-11-16 04:03:40
3351	1458	2014-11-16 04:03:40
3255	4620	2014-11-16 04:03:40
4664	7623	2014-11-16 04:03:40
5776	530	2014-11-16 04:03:40
7105	7274	2014-11-16 04:03:40
1039	9801	2014-11-16 04:03:40
1017	9709	2014-11-16 04:03:40
1592	4094	2014-11-16 04:03:40
1137	5298	2014-11-16 04:03:40
4664	5566	2014-11-16 04:03:40
5776	1722	2014-11-16 04:03:40
1017	8913	2014-11-16 04:03:40
4878	48	2014-11-16 04:03:40
5930	373	2014-11-16 04:03:40
7347	3068	2014-11-16 04:03:40
1	5855	2014-11-16 04:03:40
6263	7412	2014-11-16 04:03:40
5930	7435	2014-11-16 04:03:40
8224	8648	2014-11-16 04:03:40
3351	3710	2014-11-16 04:03:40
5930	9286	2014-11-16 04:03:40
432	7200	2014-11-16 04:03:40
4264	1296	2014-11-16 04:03:40
1818	7205	2014-11-16 04:03:40
1	3518	2014-11-16 04:03:40
1592	6002	2014-11-16 04:03:40
7347	4522	2014-11-16 04:03:40
119	2925	2014-11-16 04:03:40
2475	3603	2014-11-16 04:03:40
2271	2519	2014-11-16 04:03:40
7347	2095	2014-11-16 04:03:40
3351	57	2014-11-16 04:03:40
7347	5906	2014-11-16 04:03:40
7105	1371	2014-11-16 04:03:40
1294	4490	2014-11-16 04:03:40
1	8723	2014-11-16 04:03:40
5930	904	2014-11-16 04:03:40
5930	567	2014-11-16 04:03:40
5930	2900	2014-11-16 04:03:40
119	2529	2014-11-16 04:03:40
9930	1958	2014-11-16 04:03:40
1294	285	2014-11-16 04:03:40
2768	5717	2014-11-16 04:03:40
1137	1791	2014-11-16 04:03:40
9007	4930	2014-11-16 04:03:40
9007	5381	2014-11-16 04:03:40
1039	5218	2014-11-16 04:03:40
1592	5883	2014-11-16 04:03:40
1	7239	2014-11-16 04:03:40
9288	2262	2014-11-16 04:03:40
5776	8652	2014-11-16 04:03:40
531	2313	2014-11-16 04:03:40
1592	934	2014-11-16 04:03:40
3351	3647	2014-11-16 04:03:40
531	5450	2014-11-16 04:03:40
3255	1032	2014-11-16 04:03:40
2271	4008	2014-11-16 04:03:40
1137	4066	2014-11-16 04:03:40
531	5779	2014-11-16 04:03:40
2271	5972	2014-11-16 04:03:40
1294	3316	2014-11-16 04:03:40
8224	4825	2014-11-16 04:03:40
5776	115	2014-11-16 04:03:40
2768	6729	2014-11-16 04:03:40
2475	1145	2014-11-16 04:03:40
5011	2847	2014-11-16 04:03:40
5011	1482	2014-11-16 04:03:40
2271	9240	2014-11-16 04:03:40
5011	717	2014-11-16 04:03:40
2475	6659	2014-11-16 04:03:40
1039	5239	2014-11-16 04:03:40
9256	7725	2014-11-16 04:03:40
9256	5812	2014-11-16 04:03:40
1017	7481	2014-11-16 04:03:40
7034	2206	2014-11-16 04:03:40
1017	7200	2014-11-16 04:03:40
4878	2446	2014-11-16 04:03:40
3255	8809	2014-11-16 04:03:40
531	289	2014-11-16 04:03:40
3255	7191	2014-11-16 04:03:40
8224	6065	2014-11-16 04:03:40
7105	7574	2014-11-16 04:03:40
7034	5028	2014-11-16 04:03:40
7034	9810	2014-11-16 04:03:40
1294	441	2014-11-16 04:03:40
4878	5013	2014-11-16 04:03:40
1294	2186	2014-11-16 04:03:40
9256	1935	2014-11-16 04:03:40
4237	7268	2014-11-16 04:03:40
7105	1000	2014-11-16 04:03:40
4237	5220	2014-11-16 04:03:40
432	4269	2014-11-16 04:03:40
1	299	2014-11-16 04:03:40
1818	656	2014-11-16 04:03:40
9930	6343	2014-11-16 04:03:40
5776	1293	2014-11-16 04:03:40
432	9873	2014-11-16 04:03:40
7034	975	2014-11-16 04:03:40
2847	5744	2014-11-16 04:03:40
1017	2763	2014-11-16 04:03:40
3351	7492	2014-11-16 04:03:40
4264	7583	2014-11-16 04:03:40
9256	5491	2014-11-16 04:03:40
1818	3501	2014-11-16 04:03:40
2768	1541	2014-11-16 04:03:40
1294	2809	2014-11-16 04:03:40
5930	4245	2014-11-16 04:03:40
1592	9409	2014-11-16 04:03:40
9288	2206	2014-11-16 04:03:40
2768	3056	2014-11-16 04:03:40
7347	3991	2014-11-16 04:03:40
1294	8120	2014-11-16 04:03:40
1137	6769	2014-11-16 04:03:40
3351	8304	2014-11-16 04:03:40
9007	477	2014-11-16 04:03:40
1294	5227	2014-11-16 04:03:40
7105	6981	2014-11-16 04:03:40
1294	1894	2014-11-16 04:03:40
5776	632	2014-11-16 04:03:40
7105	9859	2014-11-16 04:03:40
9288	7322	2014-11-16 04:03:40
4878	2938	2014-11-16 04:03:40
2271	3166	2014-11-16 04:03:40
3255	9271	2014-11-16 04:03:40
8224	9265	2014-11-16 04:03:40
4237	7371	2014-11-16 04:03:40
432	6899	2014-11-16 04:03:40
4878	1183	2014-11-16 04:03:40
432	8394	2014-11-16 04:03:40
432	5269	2014-11-16 04:03:40
7347	1822	2014-11-16 04:03:40
2847	8249	2014-11-16 04:03:40
4878	8961	2014-11-16 04:03:40
2475	5003	2014-11-16 04:03:40
8224	8027	2014-11-16 04:03:40
4264	3520	2014-11-16 04:03:40
9256	9757	2014-11-16 04:03:40
2847	7659	2014-11-16 04:03:40
9256	4031	2014-11-16 04:03:40
7347	5874	2014-11-16 04:03:40
1818	3048	2014-11-16 04:03:40
4264	9119	2014-11-16 04:03:40
9007	9233	2014-11-16 04:03:40
1818	3877	2014-11-16 04:03:40
6263	5567	2014-11-16 04:03:40
5776	7810	2014-11-16 04:03:40
531	9855	2014-11-16 04:03:40
1818	1555	2014-11-16 04:03:40
1592	4553	2014-11-16 04:03:40
9256	1076	2014-11-16 04:03:40
1818	6431	2014-11-16 04:03:40
9007	6293	2014-11-16 04:03:40
1294	8359	2014-11-16 04:03:40
7347	4892	2014-11-16 04:03:40
1294	6271	2014-11-16 04:03:40
531	3365	2014-11-16 04:03:40
9930	9056	2014-11-16 04:03:40
1137	2433	2014-11-16 04:03:40
4264	4024	2014-11-16 04:03:40
3255	8527	2014-11-16 04:03:40
4878	9605	2014-11-16 04:03:40
1818	7699	2014-11-16 04:03:40
4264	4619	2014-11-16 04:03:40
5930	7516	2014-11-16 04:03:40
5776	6727	2014-11-16 04:03:40
5011	8906	2014-11-16 04:03:40
8224	1767	2014-11-16 04:03:40
5776	9608	2014-11-16 04:03:40
1137	4149	2014-11-16 04:03:40
1137	5516	2014-11-16 04:03:40
4237	9565	2014-11-16 04:03:40
1	2901	2014-11-16 04:03:40
4237	5375	2014-11-16 04:03:40
1039	1234	2014-11-16 04:03:40
6263	4705	2014-11-16 04:03:40
1	5660	2014-11-16 04:03:40
3255	4580	2014-11-16 04:03:40
5930	5785	2014-11-16 04:03:40
1	2	2014-11-16 04:03:40
1	3	2014-11-16 04:03:40
1	4	2014-11-16 04:03:40
1	5	2014-11-16 04:03:40
1	6	2014-11-16 04:03:40
1	7	2014-11-16 04:03:40
1	8	2014-11-16 04:03:40
1	9	2014-11-16 04:03:40
1	10	2014-11-16 04:03:40
1	11	2014-11-16 04:03:40
1	12	2014-11-16 04:03:40
1	13	2014-11-16 04:03:40
1	14	2014-11-16 04:03:40
1	15	2014-11-16 04:03:40
1	16	2014-11-16 04:03:40
1	17	2014-11-16 04:03:40
1	18	2014-11-16 04:03:40
1	19	2014-11-16 04:03:40
1	20	2014-11-16 04:03:40
3	4815	2014-11-30 23:17:21
3	80	2014-11-30 23:17:21
3	9999	2014-11-30 23:17:21
3	2104	2014-11-30 23:17:21
3	5929	2014-11-30 23:17:21
3	6679	2014-11-30 23:17:21
3	9803	2014-11-30 23:17:21
3	5701	2014-11-30 23:17:21
3	2670	2014-11-30 23:17:21
1	98304	2014-11-30 23:17:21
